Article_Title,Speciality,Year,Description,Revue,Volume,Number,Pages
Thermomechanical characterization of a bio-composite building material: Mortar reinforced with date palm fibers mesh,Geography and Tourism,2017,"Construction and Building Materials 135, 241-250, 2017",Construction and Building Materials,135,,241250
Moisture content influence on the thermal conductivity of insulating building materials made from date palm fibers mesh,Geography and Tourism,2017,"Construction and Building Materials 148, 811-823, 2017",Construction and Building Materials,148,,811823
Energy performance of 3 silicon-based PV module technologies in 20 sites of Morocco,Geography and Tourism,2019,"Energy for Sustainable Development 53, 30-56, 2019",Energy for Sustainable Development,53,,3056
Effect of argan nut shell powder on thermal and mechanical behavior of compressed earth blocks,Geography and Tourism,2018,"International Journal of Applied Engineering Research 13 (7), 4740-4750, 2018",International Journal of Applied Engineering Research,13,7,47404750
Photovoltaic DC yield maps for all Morocco validated with ground measurements,Geography and Tourism,2018,"Energy for sustainable development 47, 158-169, 2018",Energy for sustainable development,47,,158169
Caractérisation thermophysique du mortier a base du ciment et de sable,Geography and Tourism,2007,"Revue internationale d’héliotechnique énergieenvironnement 36, 03-12, 2007",Revue internationale d’héliotechnique énergieenvironnement,36,,0312
Development of alfa fiber-based mortar with improved thermo-mechanical properties,Geography and Tourism,2020,"Applied Sciences 10 (22), 8021, 2020",Applied Sciences,10,22,8021
Effects of recycled fine glass aggregates on alkali silica reaction and thermo-mechanical behavior of modified concrete,Geography and Tourism,2021,"Applied Sciences 11 (19), 9045, 2021",Applied Sciences,11,19,9045
Numerical simulation of heat transfers in a room in the presence of a thin horizontal heated plate,Geography and Tourism,2013,"Energy Procedia 42, 549-556, 2013",Energy Procedia,42,,549556
Energy efficiency in buildings: thermophysical characterization of building materials,Geography and Tourism,2013,"2013 International Renewable and Sustainable Energy Conference (IRSEC), 391-395, 2013",,2013,,391395
caractérisation thermophysique des matériaux et modélisation des transferts couplés de chaleur a travers un bâtiment,Geography and Tourism,2008,"Université Ibnou Zohr, Ecole Nationale des Sciences Appliquées, Agadir, 2008","Université Ibnou Zohr, Ecole Nationale des Sciences Appliquées, Agadir,",,,
Soil inertia and shallow basement envelope impact on cellar internal temperature,Geography and Tourism,2016,"Renewable Energy and Sustainable Development 2 (1), 30-36, 2016",Renewable Energy and Sustainable Development,2,1,3036
Mesure de la conductivité thermique des matériaux de construction de différentes tailles par la méthode des boites,Geography and Tourism,2014,"Proceedings of the 3rd Congres de l’Association Marocaine de Thermique …, 2014",Proceedings of the,3,,
Study on the performance of thermal energy of a classroom built with natural materials,Geography and Tourism,2023,"Proceedings of the Institution of Civil Engineers-Energy 176 (2), 89-104, 2023",Proceedings of the Institution of Civil Engineers-Energy,176,2,89104
Thermal conductivity of modified concrete: Substitution of sand by fine aggregates of glass waste,Geography and Tourism,2021,"AIP Conference Proceedings 2345 (1), 2021",AIP Conference Proceedings,2345,1,
Soil thermal inertia effect on shallow basement energy performance in different Morocco climates,Geography and Tourism,2020,"Journal of Thermal Science and Engineering Applications 12 (4), 041001, 2020",Journal of Thermal Science and Engineering Applications,12,4,041001
Comparison of shallow basement thermal performance for different regions of Morocco using a three-dimensional heat transfer analysis,Geography and Tourism,2019,"Cogent Engineering 6 (1), 1602926, 2019",Cogent Engineering,6,1,1602926
Energy-saving potential assessment of a classroom building envelope through sensitivity analysis and multi-objective optimization under different climate types,Geography and Tourism,2023,"Building Services Engineering Research & Technology 44 (3), 309-332, 2023",Building Services Engineering Research & Technology,44,3,309332
Experimental and Numerical Investigations on Conductive Drying of Phosphate Washing Waste Clay,Geography and Tourism,2021,"Minerals 11 (5), 482, 2021",Minerals,11,5,482
Simulation of sewage sludge drying under climate of solar greenhouse,Geography and Tourism,2021,"AIP Conference Proceedings 2345 (1), 020044, 2021",AIP Conference Proceedings,2345,1,020044
Sol-gel Aluminum-doped ZnO thin films: Synthesis and characterization,Electrical Engineering,2017,"J. Mater. Environ. Sci 8 (1), 160-168, 2017",J. Mater. Environ. Sci,8,1,160168
Refractive index controlled by film morphology and free carrier density in undoped ZnO through sol-pH variation,Electrical Engineering,2018,"Optik 158, 1139-1146, 2018",Optik,158,,11391146
Magnetic and structural approach for understanding the electrochemical behavior of LiNi0. 33Co0. 33Mn0. 33O2 positive electrode material,Electrical Engineering,2013,"Electrochimica Acta 111, 567-574, 2013",Electrochimica Acta,111,,567574
The LiyNi0. 2Mn0. 2Co0. 6O2 electrode materials: A structural and magnetic study,Electrical Engineering,2012,"Materials Research Bulletin 47 (4), 1004-1009, 2012",Materials Research Bulletin,47,4,10041009
"On the sol pH and the structural, optical and electrical properties of ZnO thin films",Electrical Engineering,2016,"Superlattices and Microstructures 93, 297-302, 2016",Superlattices and Microstructures,93,,297302
LiNi0. 1Mn0. 1Co0. 8O2 electrode material: Structural changes upon lithium electrochemical extraction,Electrical Engineering,2010,"Electrochimica Acta 55 (18), 5180-5185, 2010",Electrochimica Acta,55,18,51805185
Effects of Na2SO4 on the optical and structural properties of Cu2ZnSnS4 thin films synthesized using co-electrodeposition technique,Electrical Engineering,2018,"Optical Materials 75, 471-482, 2018",Optical Materials,75,,471482
The effect of electronegativity on optical properties of Mg doped ZnO,Electrical Engineering,2021,"Optik 241, 167070, 2021",Optik,241,,167070
Li concentration dependence of structural properties and optical band gap of Li-doped ZnO films,Electrical Engineering,2017,"Applied Physics A 123, 1-6, 2017",Applied Physics A,123,,16
"Delithiated LiyCo0. 8Ni0. 1Mn0. 1O2 cathode materials for lithium-ion batteries: Structural, magnetic and electrochemical studies",Electrical Engineering,2016,"Solid State Ionics 289, 207-213, 2016",Solid State Ionics,289,,207213
Intersubband energies in Al1− yInyN/Ga1− xInxN heterostructures with lattice constant close to aGaN,Electrical Engineering,2012,"Superlattices and Microstructures 52 (1), 70-77, 2012",Superlattices and Microstructures,52,1,7077
Synthesis of lithium doped zinc oxide by sol gel,Electrical Engineering,2016,"Journal of Physics: Conference Series 758 (1), 012019, 2016",Journal of Physics: Conference Series,758,1,012019
The non parabolicity and the enhancement of the intersubband absorption in GaAs/GaAlAs quantum wells,Electrical Engineering,2015,"Superlattices and Microstructures 84, 192, 2015",Superlattices and Microstructures,84,,192
Electrical properties of highly boron‐implanted polycrystalline silicon after rapid or conventional thermal annealing,Electrical Engineering,1989,"Journal of applied physics 66 (9), 4301-4304, 1989",Journal of applied physics,66,9,43014304
Annealing Effect on One Step Electrodeposited CuSbSe2 Thin Films,Electrical Engineering,2022,"Coatings 12 (1), 75, 2022",Coatings,12,1,75
Numerical Simulation of CZTSe Based Solar Cells Using Different Back Surface Field Layers: Improvement and Comparison,Electrical Engineering,2021,"Journal of Electronic Materials, 2021","Journal of Electronic Materials,",,,
Effects of swelling on the effective mechanical and electrical properties of a carbon black-filled polymer,Electrical Engineering,2018,"Polymer bulletin, 2018","Polymer bulletin,",,,
Double two-photon absorption in an asymmetric stepped quantum well in the terahertz range,Electrical Engineering,2019,"Superlattices and Microstructures 130, 560-568, 2019",Superlattices and Microstructures,130,,560568
"Optical properties of GaSe, characterization and simulation",Electrical Engineering,2021,"Materials Today: Proceedings 37, 3789-3792, 2021",Materials Today: Proceedings,37,,37893792
An output characteristics simulation of SnS based solar cells,Electrical Engineering,2022,"Materials Today: Proceedings 51, 2047-2052, 2022",Materials Today: Proceedings,51,,20472052
Functional differential equations in Hilbert spaces driven by a fractional Brownian motion,Electrical Engineering,2012,"Afrika Matematika 23, 173-194, 2012",Afrika Matematika,23,,173194
Controllability of neutral stochastic functional integro-differential equations driven by fractional Brownian motion,Electrical Engineering,2016,"Stochastic Analysis and Applications 34 (3), 427-440, 2016",Stochastic Analysis and Applications,34,3,427440
Existence and uniqueness of mild solutions to neutral SFDE driven by a fractional Brownian motion with non-Lipschitz coefficients,Electrical Engineering,2013,"arXiv preprint arXiv:1312.6147, 2013",arXiv preprint arXiv:,13126147,,
Existence of solutions for fractional neutral functional differential equations driven by fBm with infinite delay,Electrical Engineering,2018,"Stochastics 90 (3), 313-329, 2018",Stochastics,90,3,313329
Controllability for time-dependent neutral stochastic functional differential equations with Rosenblatt process and impulses,Electrical Engineering,2019,"International Journal of Control, Automation and Systems 17, 286-297, 2019","International Journal of Control, Automation and Systems",17,,286297
Controllability of stochastic impulsive neutral functional differential equations driven by fractional Brownian motion with infinite delay,Electrical Engineering,2018,"Differential Equations and Dynamical Systems 26, 247-263, 2018",Differential Equations and Dynamical Systems,26,,247263
Existence and stability for stochastic impulsive neutral partial differential equations driven by Rosenblatt process with delay and Poisson jumps,Electrical Engineering,2017,"Communications on Stochastic Analysis 11 (1), 7, 2017",Communications on Stochastic Analysis,11,1,7
Exponential stability for stochastic neutral functional differential equations driven by Rosenblatt process with delay and Poisson jumps,Electrical Engineering,2016,"Random operators and stochastic equations 24 (2), 113-127, 2016",Random operators and stochastic equations,24,2,113127
Théorèmes limites pour certaines fonctionnelles associées aux processus stables dans une classe d'espaces de besov,Electrical Engineering,2002,"Stochastics: An International Journal of Probability and Stochastic …, 2002","Stochastics: An International Journal of Probability and Stochastic …,",,,
Weak convergence in Besov spaces to fractional Brownian motion,Electrical Engineering,2001,"Comptes Rendus de l'Académie des Sciences-Series I-Mathematics 333 (1), 39-44, 2001",Comptes Rendus de l'Académie des Sciences-Series I-Mathematics,333,1,3944
Exponential stability of impulsive neutral stochastic functional differential equation driven by fractional Brownian motion and Poisson point processes,Electrical Engineering,2018,"Afrika Matematika 29, 233-247, 2018",Afrika Matematika,29,,233247
Controllability of impulsive neutral stochastic functional integro-differential equations driven by fractional Brownian motion,Electrical Engineering,2015,"Brownian Motion: Elements, Dynamics, and Applications, Nova, Hauppauge, NY …, 2015","Brownian Motion: Elements, Dynamics, and Applications, Nova, Hauppauge, NY …,",,,
